Epoch: [0][0/360]	Time 0.125 (0.125)	Data 0.016 (0.016)	Loss 55.4542 (55.4542)	Count-loss 3.8489 (3.8489)	
Epoch: [0][5/360]	Time 0.155 (0.149)	Data 0.015 (0.016)	Loss 13.9640 (76.6384)	Count-loss 1.3490 (1.1372)	
Epoch: [0][10/360]	Time 0.156 (0.152)	Data 0.015 (0.015)	Loss 43.9762 (137.2502)	Count-loss 1.7146 (7.1495)	
Epoch: [0][15/360]	Time 0.155 (0.153)	Data 0.015 (0.015)	Loss 54.8771 (111.5777)	Count-loss 1.3162 (6.8414)	
Epoch: [0][20/360]	Time 0.155 (0.154)	Data 0.016 (0.015)	Loss 81.7029 (114.3637)	Count-loss 0.5672 (5.7160)	
Epoch: [0][25/360]	Time 0.155 (0.154)	Data 0.016 (0.015)	Loss 17.8253 (101.8494)	Count-loss 0.0922 (5.3259)	
Epoch: [0][30/360]	Time 0.155 (0.154)	Data 0.015 (0.015)	Loss 23.6573 (89.8435)	Count-loss 0.2696 (5.3118)	
Epoch: [0][35/360]	Time 0.155 (0.154)	Data 0.015 (0.015)	Loss 14.2677 (83.3461)	Count-loss 5.0816 (7.7742)	
Epoch: [0][40/360]	Time 0.155 (0.154)	Data 0.016 (0.015)	Loss 29.0200 (75.4679)	Count-loss 1.0726 (7.5566)	
Epoch: [0][45/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 36.6722 (69.4519)	Count-loss 0.0008 (8.7134)	
Epoch: [0][50/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 24.7229 (64.4464)	Count-loss 0.7459 (8.0772)	
Epoch: [0][55/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 242.0371 (64.0146)	Count-loss 0.1894 (7.3914)	
Epoch: [0][60/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 16.3101 (60.6563)	Count-loss 0.0030 (7.8987)	
Epoch: [0][65/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 10.7351 (59.3891)	Count-loss 0.1278 (7.4216)	
Epoch: [0][70/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 177.0757 (60.0562)	Count-loss 0.0997 (6.9230)	
Epoch: [0][75/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 17.5168 (59.4726)	Count-loss 0.3988 (6.4861)	
Epoch: [0][80/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 14.4471 (57.4152)	Count-loss 0.1955 (6.0958)	
Epoch: [0][85/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 10.3407 (56.6890)	Count-loss 2.0450 (5.7794)	
Epoch: [0][90/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 11.7017 (54.6299)	Count-loss 2.9301 (5.5246)	
Epoch: [0][95/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 13.1584 (54.3974)	Count-loss 2.2371 (5.2917)	
Epoch: [0][100/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 70.2509 (54.9538)	Count-loss 0.0503 (5.0599)	
Epoch: [0][105/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 16.2184 (55.4227)	Count-loss 0.1809 (4.8725)	
Epoch: [0][110/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 30.4674 (54.1553)	Count-loss 0.1750 (4.6663)	
Epoch: [0][115/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 13.8520 (53.6140)	Count-loss 5.0655 (4.5353)	
Epoch: [0][120/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 10.3871 (51.7853)	Count-loss 8.8939 (4.5243)	
Epoch: [0][125/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 29.9728 (50.3271)	Count-loss 0.1547 (4.5063)	
Epoch: [0][130/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 12.4628 (49.3162)	Count-loss 0.3721 (4.3431)	
Epoch: [0][135/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 7.0378 (48.0956)	Count-loss 0.0000 (4.1940)	
Epoch: [0][140/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 14.1475 (49.9391)	Count-loss 0.4923 (4.0548)	
Epoch: [0][145/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 87.2008 (49.0735)	Count-loss 0.2831 (3.9569)	
Epoch: [0][150/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 14.4624 (53.2767)	Count-loss 37.8457 (4.3739)	
Epoch: [0][155/360]	Time 0.156 (0.155)	Data 0.014 (0.015)	Loss 19.4885 (52.1359)	Count-loss 5.6355 (4.3355)	
Epoch: [0][160/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 16.1822 (51.8494)	Count-loss 5.3871 (4.2620)	
Epoch: [0][165/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 10.7811 (50.7512)	Count-loss 0.6276 (4.3905)	
Epoch: [0][170/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 14.7213 (50.6520)	Count-loss 0.8733 (4.2866)	
Epoch: [0][175/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 76.0980 (51.2465)	Count-loss 0.1694 (4.4276)	
Epoch: [0][180/360]	Time 0.155 (0.155)	Data 0.014 (0.015)	Loss 15.1754 (50.9558)	Count-loss 4.5767 (4.3407)	
Epoch: [0][185/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 33.7405 (50.9166)	Count-loss 11.1370 (4.3485)	
Epoch: [0][190/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 51.6830 (51.0270)	Count-loss 0.9585 (4.2591)	
Epoch: [0][195/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 33.1775 (50.9822)	Count-loss 0.0589 (4.2632)	
Epoch: [0][200/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 9.7300 (50.3549)	Count-loss 37.2986 (4.3645)	
Epoch: [0][205/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 14.3362 (49.6213)	Count-loss 0.0227 (4.3009)	
Epoch: [0][210/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 91.3863 (49.2100)	Count-loss 0.1112 (4.2462)	
Epoch: [0][215/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 8.4255 (48.5540)	Count-loss 0.1483 (4.1983)	
Epoch: [0][220/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 160.4296 (50.2287)	Count-loss 0.1511 (4.1220)	
Epoch: [0][225/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 65.5809 (50.2147)	Count-loss 0.0330 (4.3211)	
Epoch: [0][230/360]	Time 0.156 (0.155)	Data 0.014 (0.015)	Loss 16.1797 (49.6313)	Count-loss 38.8886 (4.4221)	
Epoch: [0][235/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 17.6457 (49.3972)	Count-loss 42.8020 (4.5180)	
Epoch: [0][240/360]	Time 0.155 (0.155)	Data 0.014 (0.015)	Loss 11.8086 (49.1874)	Count-loss 13.8696 (4.5148)	
Epoch: [0][245/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 33.5064 (48.8873)	Count-loss 1.0212 (4.4299)	
Epoch: [0][250/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 14.5977 (48.3380)	Count-loss 5.2655 (4.4046)	
Epoch: [0][255/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 8.7349 (47.6335)	Count-loss 4.5613 (4.4997)	
Epoch: [0][260/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 11.0699 (47.2801)	Count-loss 0.0010 (4.4257)	
Epoch: [0][265/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 7.2962 (46.6938)	Count-loss 0.3991 (4.3604)	
Epoch: [0][270/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 15.3646 (46.0458)	Count-loss 0.1718 (4.3266)	
Epoch: [0][275/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 67.5890 (45.8033)	Count-loss 0.4498 (4.2838)	
Epoch: [0][280/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 324.3603 (46.5133)	Count-loss 0.0930 (4.2164)	
Epoch: [0][285/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 19.1916 (46.0985)	Count-loss 0.8690 (4.1514)	
Epoch: [0][290/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 73.3324 (45.9999)	Count-loss 0.0027 (4.0952)	
Epoch: [0][295/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 25.3192 (45.7850)	Count-loss 0.2091 (4.1056)	
Epoch: [0][300/360]	Time 0.157 (0.156)	Data 0.016 (0.015)	Loss 849.7329 (48.1900)	Count-loss 0.4898 (4.0976)	
